Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Voltaire_ Oeuvres complètes - Voltaire.epub;Voltaire;Voltaire_ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Voltaire_ Oeuvres complètes;Voltaire
Nietzsche _ Oeuvres complètes - Friedrich Nietzsche.epub;Friedrich Nietzsche;Nietzsche _ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Nietzsche _ Oeuvres complètes;Friedrich Nietzsche
Sept passions singulières_ Récits - Richard Millet.epub;Richard Millet;Sept passions singulières_ Récits;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Sept passions singulières_ Récits;Richard Millet
Mémoires du cardinal de Retz écrits par lui-même à Madame de ___ - Jean-François Paul de Gondi.epub;Jean-François Paul de Gondi;Mémoires du cardinal de Retz écrits par lui-même à Madame de ___;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Mémoires du cardinal de Retz écrits par lui-même à Madame de ___;Jean-François Paul de Gondi
Arduino _ Premiers pas en informatique embarquée - Simon Landrault (alias Eskimon).epub;Simon Landrault (alias Eskimon);Arduino _ Premiers pas en informatique embarquée;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R7: Titre ressemble à un nom complet;Arduino _ Premiers pas en informatique embarquée;Simon Landrault (alias Eskimon)
Molière _ Oeuvres complètes - Molière.epub;Molière;Molière _ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Molière _ Oeuvres complètes;Molière
Allais _ Oeuvres complètes - Allais.epub;Allais;Allais _ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Allais _ Oeuvres complètes;Allais
Mon oncle et mon curé_ Introd. par Madame Félix-Faure-Goyau - Jean de la Brète.epub;Jean de la Brète;Mon oncle et mon curé_ Introd. par Madame Félix-Faure-Goyau;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R7: Titre ressemble à un nom complet;Mon oncle et mon curé_ Introd. par Madame Félix-Faure-Goyau;Jean de la Brète
Marivaux _ Oeuvres complètes - Marivaux.epub;Marivaux;Marivaux _ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Marivaux _ Oeuvres complètes;Marivaux
Aline et Valcour _ Tome II. - Marquis de Sade.epub;de Sade, Marquis;Aline et Valcour _ Tome II.;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Aline et Valcour _ Tome II.;de Sade, Marquis
Laissez-nous faire ! - Alexandre Jardin.epub;Alexandre Jardin;Laissez-nous faire !;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R7: Titre ressemble à un nom complet;Laissez-nous faire !;Alexandre Jardin
Œuvres complètes de Montesquieu_ Discours, lettrePaphos - Charles de Secondat Baron de Montesquieu.epub;Charles de Secondat Baron de Montesquieu;Œuvres complètes de Montesquieu_ Discours, lettrePaphos;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Œuvres complètes de Montesquieu_ Discours, lettrePaphos;Charles de Secondat Baron de Montesquieu
Descartes _ Oeuvres complètes - Descartes.epub;Descartes;Descartes _ Oeuvres complètes;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Descartes _ Oeuvres complètes;Descartes
Oeuvres Completes De Montesquieu_ Avec Les Varianmieres Editions - Charles Louis de S. Montesquieu.epub;Charles Louis de S. Montesquieu;Oeuvres Completes De Montesquieu_ Avec Les Varianmieres Editions;70;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R10: Mots-clés de titres dans auteur;Oeuvres Completes De Montesquieu_ Avec Les Varianmieres Editions;Charles Louis de S. Montesquieu
