Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Notre agent à La Havane - Graham Greene.epub;Greene, Graham;Notre agent à La Havane;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Notre agent à La Havane;Greene, Graham
Sous les lunes de Jupiter - Anuradha Roy.epub;Roy, Anuradha;Sous les lunes de Jupiter;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sous les lunes de Jupiter;Roy, Anuradha
Extrait des rapports d’un agent de police - Charles Barbara.epub;Barbara, Charles;Extrait des rapports d’un agent de police;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Extrait des rapports d’un agent de police;Barbara, Charles
Autobiographie de Nikola Tesla, L' - Biographies.epub;Biographies;Autobiographie de Nikola Tesla, L';75;PROBABLE;R3: Auteur se termine par article défini | R9: Titre court et auteur long;Autobiographie de Nikola Tesla, L';Biographies
Monsieur Ibrahim et les fleurs du Coran - Eric-Emmanuel Schmitt.epub;Schmitt, Eric-Emmanuel;Monsieur Ibrahim et les fleurs du Coran;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Monsieur Ibrahim et les fleurs du Coran;Schmitt, Eric-Emmanuel
Combat et autres recits, Un - Patrick Süskind.epub;Süskind, Patrick;Combat et autres recits, Un;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Combat et autres recits, Un;Süskind, Patrick
Celui qui ne dormait pas - Alessio Viola.epub;Viola, Alessio;Celui qui ne dormait pas;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Celui qui ne dormait pas;Viola, Alessio
Pour Un Oui Ou Pour Un Non - Nathalie Sarraute.epub;Sarraute, Nathalie;Pour Un Oui Ou Pour Un Non;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Pour Un Oui Ou Pour Un Non;Sarraute, Nathalie
Sagesse – Savoir vivre au pied d’un volcan - Michel Onfray.epub;Onfray, Michel;Sagesse – Savoir vivre au pied d’un volcan;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Sagesse – Savoir vivre au pied d’un volcan;Onfray, Michel
Harry Potter - T03 - Harry Potter et le Prisonnier d'Azkaban - J.K. Rowling.epub;Rowling, J.K.;Harry Potter et le Prisonnier d'Azkaban;75;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R9: Titre court et auteur long;Harry Potter et le Prisonnier d'Azkaban;Rowling, J.K.
