Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Raffles Hotel - Murakami Ryû.epub;Ryû, Murakami;Raffles Hotel;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Raffles Hotel;Ryû, Murakami
Épervier, L' - Henri Bosco.epub;Épervier, L';Bosco, Henri;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Bosco, Henri;Épervier, L'
Paris-Austerlitz - Rafael Chirbes.epub;Chirbes, Rafael;Paris-Austerlitz;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Paris-Austerlitz;Chirbes, Rafael
Yeux Noirs - Frédéric Boyer.epub;Boyer, Frédéric;Yeux Noirs;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Yeux Noirs;Boyer, Frédéric
HERBE ROUGE, L’ - Boris Vian.epub;Vian, Boris;HERBE ROUGE, L’;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;HERBE ROUGE, L’;Vian, Boris
Sous haute tension - Harlan Coben.epub;Coben, Harlan;Sous haute tension;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sous haute tension;Coben, Harlan
Jusqu'à l'aube - Albrecht Goes.epub;Goes, Albrecht;Jusqu'à l'aube;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Jusqu'à l'aube;Goes, Albrecht
Notes de Hiroshima - Kenzaburô Ôé.epub;Ôé, Kenzaburô;Notes de Hiroshima;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Notes de Hiroshima;Ôé, Kenzaburô
rêveries du promeneur solitaire - Rousseau, Les - Biographies.epub;Biographies;Rousseau, Les;50;PROBABLE;R3: Auteur se termine par article défini;Rousseau, Les;Biographies
Blanche ou l'oubli - Louis Aragon.epub;Aragon, Louis;Blanche ou l'oubli;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Blanche ou l'oubli;Aragon, Louis
Faute de preuves - Harlan Coben.epub;Coben, Harlan;Faute de preuves;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Faute de preuves;Coben, Harlan
Mon chat Yugoslavia - Pajtim Statovci.epub;Statovci, Pajtim;Mon chat Yugoslavia;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Mon chat Yugoslavia;Statovci, Pajtim
Itinéraire spiritueux - Gérard Oberlé.epub;Oberlé, Gérard;Itinéraire spiritueux;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Itinéraire spiritueux;Oberlé, Gérard
Salut Marie - Antoine Sénanque.epub;Sénanque, Antoine;Salut Marie;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Salut Marie;Sénanque, Antoine
Apocalypse bébé - Virginie Despentes.epub;Despentes, Virginie;Apocalypse bébé;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Apocalypse bébé;Despentes, Virginie
Kabukicho - Dominique Sylvain.epub;Sylvain, Dominique;Kabukicho;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Kabukicho;Sylvain, Dominique
Par-delà la pluie - Victor Del Arbol.epub;Arbol, Victor Del;Par-delà la pluie;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Par-delà la pluie;Arbol, Victor Del
Hotel Bristol - Michel Tremblay.epub;Tremblay, Michel;Hotel Bristol;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Hotel Bristol;Tremblay, Michel
Bellemare,Pierre [Crimes de sang-1] Merci, Ruth !... 40 histoires (.) french.zzz.epub;Merci, Ruth !... 40 histoires (.);Bellemare,Pierre;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Bellemare,Pierre;Merci, Ruth !... 40 histoires (.)
Zone de non-droit - Alex Berg.epub;Berg, Alex;Zone de non-droit;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Zone de non-droit;Berg, Alex
Simon le pathétique - Jean Giraudoux.epub;Giraudoux, Jean;Simon le pathétique;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Simon le pathétique;Giraudoux, Jean
Sale boulot - Larry Brown.epub;Brown, Larry;Sale boulot;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sale boulot;Brown, Larry
Déserteur - Bergmann Boris.epub;Boris, Bergmann;Déserteur;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Déserteur;Boris, Bergmann
Cure fatale - Robin Cook.epub;Cook, Robin;Cure fatale;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Cure fatale;Cook, Robin
Fantômes et farfafouilles - Fredric Brown.epub;Brown, Fredric;Fantômes et farfafouilles;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Fantômes et farfafouilles;Brown, Fredric
Tropical Animal - Pedro Juan Gutierrez.epub;Gutierrez, Pedro Juan;Tropical Animal;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Tropical Animal;Gutierrez, Pedro Juan
Adieu Cayenne - Albert Londres.epub;Londres, Albert;Adieu Cayenne;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Adieu Cayenne;Londres, Albert
Prohartchine - Fyodor Mikhailovich Dostoyevsky.epub;Dostoyevsky, Fyodor Mikhailovich;Prohartchine;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Prohartchine;Dostoyevsky, Fyodor Mikhailovich
Junky - William S. Burroughs.epub;Burroughs, William S.;Junky;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Junky;Burroughs, William S.
Greenwood,Ed [Elminster-1] Elminster, la jeunesse d'un mage (1994) Fantasy .Z.epub;Elminster, T1 : La Jeunesse d'un mage;Greenwood, Ed;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Greenwood, Ed;Elminster, T1 : La Jeunesse d'un mage
Killbox - Ann Aguirre.epub;Aguirre, Ann;Killbox;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Killbox;Aguirre, Ann
Aveu de faiblesses - Frédéric Viguier.epub;Viguier, Frédéric;Aveu de faiblesses;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Aveu de faiblesses;Viguier, Frédéric
Enfant, L' - Jules Vallès.epub;Enfant, L';Vallès, Jules;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Vallès, Jules;Enfant, L'
légende des quatre soldats (Tome 2) - Séduire un séducteur, La - Elizabeth Hoyt.epub;Elizabeth Hoyt;Séduire un séducteur, La;50;PROBABLE;R3: Auteur se termine par article défini;Séduire un séducteur, La;Elizabeth Hoyt
Sherlock Holmes - Arthur Conan Doyle.epub;Doyle, Arthur Conan;Sherlock Holmes;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Sherlock Holmes;Doyle, Arthur Conan
Drame Au Labrador, Un - Vinceslas-Eugène Dick.epub;Dick, Vinceslas-Eugène;Drame Au Labrador, Un;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Drame Au Labrador, Un;Dick, Vinceslas-Eugène
Mãn - Kim Thúy.epub;Thúy, Kim;Mãn;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Mãn;Thúy, Kim
Timebox - Boris Koslowski.epub;Koslowski, Boris;Timebox;50;PROBABLE;R1: Format 'Nom, Prénom' dans titre;Timebox;Koslowski, Boris
Messieurs Golovleff, Les - Saltykov-Chtchedrine.epub;Saltykov-Chtchedrine;Messieurs Golovleff, Les;50;PROBABLE;R3: Auteur se termine par article défini;Messieurs Golovleff, Les;Saltykov-Chtchedrine
