Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Alexis ou Le traité du vain combat _ Le Coup de grâce - Marguerite Yourcenar.epub;Yourcenar, Marguerite;Alexis ou Le traité du vain combat _ Le Coup de grâce;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Yourcenar' dans TITRE;Alexis ou Le traité du vain combat _ Le Coup de grâce;Yourcenar, Marguerite
Académie des âmes abîmées, L' - Thierry Cohen.epub;Cohen, Thierry;Académie des âmes abîmées, L';290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Cohen' dans TITRE;Académie des âmes abîmées, L';Cohen, Thierry
Pitié dangereuse, La - Stefan Zweig.epub;Zweig, Stefan;Pitié dangereuse, La;290;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Zweig' dans TITRE;Pitié dangereuse, La;Zweig, Stefan
Menteur - Rob Roberge.epub;Roberge, Rob;Menteur;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Menteur;Roberge, Rob
Cassure, La - Martina Cole.epub;Cole, Martina;Cassure, La;190;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Article défini en fin d'AUTEUR | Nom d'auteur connu 'Cole' dans TITRE;Cassure, La;Cole, Martina
risque calculé, Un - Katherine Neville.epub;Neville, Katherine;"Katherine Neville Coffret 3 volumes : Le Huit ; Le cercle magique ; Un risque";150;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Chiffres dans AUTEUR;"Katherine Neville Coffret 3 volumes : Le Huit ; Le cercle magique ; Un risque";Neville, Katherine
ULI LE FERMIER - Jérémias Gotthelf.epub;Gotthelf, Jérémias;ULI LE FERMIER;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Gotthelf' dans TITRE;ULI LE FERMIER;Gotthelf, Jérémias
Insomnies - Stephen King.epub;King, Stephen;Insomnies;270;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur connu trouvé dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'King' dans TITRE;Insomnies;King, Stephen
Lointain - Marie Modiano.epub;Modiano, Marie;Lointain;170;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard | Nom d'auteur connu 'Modiano' dans TITRE;Lointain;Modiano, Marie
Plus folles que ça tu meurs! - Denise Bombardier.epub;Bombardier, Denise;Plus folles que ça tu meurs!;110;CERTAIN;Format 'Nom, Prénom' dans le TITRE | Auteur n'est pas au format standard;Plus folles que ça tu meurs!;Bombardier, Denise
