Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie - Denis Diderot & Ligaran,.epub;Denis Diderot & Ligaran,;Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Lettre d'un citoyen zélé_ Sur les troubles qui didecine et la chirurgie;Denis Diderot & Ligaran,
Correspondance, Volume 4 _ Janvier 1969 - Décembre 1972 - Guy Debord.epub;Debord, Guy;Décembre 1972;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Décembre 1972;Debord, Guy
Joseph Balsamo - Tome I (Les Mémoires d'un médecin) - Alexandre Dumas.epub;Alexandre Dumas;Tome I (Les Mémoires d'un médecin);85;PROBABLE;R7: Titre ressemble à un nom complet | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Tome I (Les Mémoires d'un médecin);Alexandre Dumas
Qu'est-ce que vous voulez voir _ - Raymond Carver & François Lasquin.epub;Raymond Carver & François Lasquin;Qu'est-ce que vous voulez voir _;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Qu'est-ce que vous voulez voir _;Raymond Carver & François Lasquin
Petite discussion avec une momie_ édition intégrale - Charles Baudelaire & Edgar Allan Poe.epub;Charles Baudelaire & Edgar Allan Poe;Petite discussion avec une momie_ édition intégrale;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Petite discussion avec une momie_ édition intégrale;Charles Baudelaire & Edgar Allan Poe
Ange Pitou - Tome II (Les Mémoires d'un médecin) - Alexandre Dumas.epub;Alexandre Dumas;Tome II (Les Mémoires d'un médecin);85;PROBABLE;R7: Titre ressemble à un nom complet | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Tome II (Les Mémoires d'un médecin);Alexandre Dumas
A la fraîche_. - René Fallet & Georges Brassens.epub;René Fallet & Georges Brassens;A la fraîche_.;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;A la fraîche_.;René Fallet & Georges Brassens
Salammbô_ l'intégrale - Philippe Druillet & Gustave Flaubert.epub;Philippe Druillet & Gustave Flaubert;Salammbô_ l'intégrale;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Salammbô_ l'intégrale;Philippe Druillet & Gustave Flaubert
Joseph Balsamo - Tome II (Les Mémoires d'un médecin) - Alexandre Dumas.epub;Alexandre Dumas;Tome II (Les Mémoires d'un médecin);85;PROBABLE;R7: Titre ressemble à un nom complet | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Tome II (Les Mémoires d'un médecin);Alexandre Dumas
Ceux de 14 - Maurice Genevoix.epub;Genevoix, Maurice;Ceux de 14;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Ceux de 14;Genevoix, Maurice
Phares. 24 destins - Jacques Attali.epub;Attali, Jacques;Phares. 24 destins;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Phares. 24 destins;Attali, Jacques
Horace_ texte intégral - Pierre Corneille & Edmond Richer.epub;Pierre Corneille & Edmond Richer;Horace_ texte intégral;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Horace_ texte intégral;Pierre Corneille & Edmond Richer
Joseph Balsamo - Tome IV (Les Mémoires d'un médecin) - Alexandre Dumas.epub;Alexandre Dumas;Tome IV (Les Mémoires d'un médecin);85;PROBABLE;R7: Titre ressemble à un nom complet | R9: Titre court et auteur long | R10: Mots-clés de titres dans auteur;Tome IV (Les Mémoires d'un médecin);Alexandre Dumas
Guy des Cars 25 La Révoltée - Guy Des Cars.epub;Cars, Guy Des;Guy des Cars 25 La Révoltée;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Guy des Cars 25 La Révoltée;Cars, Guy Des
David Copperfield 1 - Charles Dickens.epub;Dickens, Charles;David Copperfield 1;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;David Copperfield 1;Dickens, Charles
Carnets II. Janvier 1942 - Mars 1951 - Albert Camus.epub;Camus, Albert;Mars 1951;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Mars 1951;Camus, Albert
Montana 1948 - Larry Watson.epub;Watson, Larry;Montana 1948;85;PROBABLE;R1: Format 'Nom, Prénom' dans titre | R5: Auteur contient des chiffres;Montana 1948;Watson, Larry
Durée et simultanéité_ à propos de la théorie d'Einstein - Henri Bergson & Élie During.epub;Henri Bergson & Élie During;Durée et simultanéité_ à propos de la théorie d'Einstein;85;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R8: Titre contient '&' entre noms;Durée et simultanéité_ à propos de la théorie d'Einstein;Henri Bergson & Élie During
