Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Carrière,Jean-Claude & Eco,Umberto [] N'espérez pas vous débarassez des livres.epub;Carrière,Jean-Claude & Eco,Umberto;N'espérez pas vous débarassez des livres;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Carrière' dans TITRE;N'espérez pas vous débarassez des livres;Carrière,Jean-Claude & Eco,Umberto
Sand,George [-05] Indiana (1832) french.zzz.epub;Sand,George;Indiana;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Sand' dans TITRE;Indiana;Sand,George
Gemmell,David A. [Drenaï-01] Waylander (1986) french.Alex.epub;Gemmell,David A.;Waylander;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Gemmell' dans TITRE;Waylander;Gemmell,David A.
Guieu,Jimmy [-020] Planète en péril (1961) french.zzz.epub;Guieu,Jimmy;Planète en péril;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Guieu' dans TITRE;Planète en péril;Guieu,Jimmy
Fortuné du Boisgobey [-60] L'oeil du chat - Tome 1 (1888) Policier .F.epub;Tome 1  Policier .F;Fortuné du Boisgobey [-60] L'oeil du chat;70;PROBABLE;Auteur n'est pas au format standard | Chiffres dans AUTEUR;Fortuné du Boisgobey [-60] L'oeil du chat;Tome 1  Policier .F
Hamilton,Peter F. [Aube de la nuit-3-Le dieu nu-1] Résistance (2002) Science-fiction .Z.epub;Hamilton,Peter F.;Résistance;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Hamilton' dans TITRE;Résistance;Hamilton,Peter F.
Kafka,Franz [] Lettre au père (1919) french.zzz.epub;Kafka,Franz;Lettre au père;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Kafka' dans TITRE;Lettre au père;Kafka,Franz
Beigbeder,Frédéric [] Vacances dans le coma.epub;Beigbeder,Frédéric;Vacances dans le coma;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Beigbeder' dans TITRE;Vacances dans le coma;Beigbeder,Frédéric
Balzac,Honoré de [-8-Etudes philosophiques-09] Louis Lambert (1832) french.feed.epub;Balzac,Honoré de;Louis Lambert;90;PROBABLE;Auteur n'est pas au format standard | Nom d'auteur connu 'Balzac' dans TITRE;Louis Lambert;Balzac,Honoré de
Rodriguez - Searching for Sugar Man 2012 - booklet.epub;Rodriguez - Searching for Sugar Man 2012 - booklet;Searching for Sugar Man 2012;70;PROBABLE;Auteur n'est pas au format standard | Chiffres dans AUTEUR;Searching for Sugar Man 2012;Rodriguez - Searching for Sugar Man 2012 - booklet
