Fichier;Titre_actuel;Auteur_actuel;Score;Confiance;Règles;Titre_corrigé;Auteur_corrigé
Du Frat,Vanessa [] Les enfants de l'O - Tome 2 (.) french.zzz.epub;Du Frat,Vanessa [] Les enfants de l'O;Tome 2 (.) french.zzz;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Tome 2 (.) french.zzz;Du Frat,Vanessa [] Les enfants de l'O
[Buffy contre les vampires-07] Tenkersley,Richie - Les chroniques d'Angel - Tome 2 (.) Fantasy-actuelle .Z.epub;Les chroniques d'Angel;Tome 2 (.) Fantasy-actuelle .Z;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Tome 2 (.) Fantasy-actuelle .Z;Les chroniques d'Angel
Dickens,Charles [] Barnabé Rudge -Tome 1 (1841) french.zzz.epub;Dickens,Charles;Barnabé Rudge -Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Barnabé Rudge -Tome 1;Dickens,Charles
Attali,Jacques [Verbatim-1] Chronique des années 1981-1986 (1993) french.zzz.epub;Attali,Jacques;Chronique des années 1981-1986;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Chronique des années 1981-1986;Attali,Jacques
Le Rouge,Gustave [] Todd Marvel, détective milliardaire - Tome 2 (1924) french.zzz.epub;Le Rouge,Gustave [] Todd Marvel, détective milliardaire;french.zzz, Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;french.zzz, Tome 2;Le Rouge,Gustave [] Todd Marvel, détective milliardaire
Musso,Guillaume [-07] Que serais-je sans toi ! (2009) french.zzz.epub;Musso,Guillaume;Que serais-je sans toi !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Que serais-je sans toi !;Musso,Guillaume
Dard,Frédéric [San-Antonio-136] Baisse la pression, tu me les gonfles ! (1988) french.zzz.epub;Dard,Frédéric;Baisse la pression, tu me les gonfles !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Baisse la pression, tu me les gonfles !;Dard,Frédéric
Le Rouge,Gustave [] Todd Marvel, détective milliardaire - Tome 1 (1923) french.feed.epub;Le Rouge,Gustave [] Todd Marvel, détective milliardaire;french.feed, Tome 1;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;french.feed, Tome 1;Le Rouge,Gustave [] Todd Marvel, détective milliardaire
Fortuné du Boisgobey [-69] Le crime de l'opéra - Tome 2 - La pelisse du pendu (1889) Policier .F.epub;La pelisse du pendu  Policier .F;Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Tome 2;La pelisse du pendu  Policier .F
Brooks,Terry [Le royaume magique de Landover-01] Royaume magique à vendre ! (1986) Fantasy .A.epub;Brooks,Terry;Royaume magique à vendre !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Royaume magique à vendre !;Brooks,Terry
gaston_leroux-la_bataille_invisible-aventures_effroyables_de_m._herbert_de_renich_-_tome_2.epub;Gaston Leroux-la Bataille Invisible-aventures Effroyables de M. Herbert de Renich;Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Tome 2;Gaston Leroux-la Bataille Invisible-aventures Effroyables de M. Herbert de Renich
Beaucarnot,Jean-Louis [] Qui étaient nos ancêtres ! (2002) french.zzz.epub;Beaucarnot,Jean-Louis;Qui étaient nos ancêtres !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Qui étaient nos ancêtres !;Beaucarnot,Jean-Louis
L’Ingénieux Hidalgo Don Quichotte de la Manche (Ime 1 et 2) (French Edition) - Miguel de Cervantes.epub;de Cervantes, Miguel;L’Ingénieux Hidalgo Don Quichotte de la Manche (Ime 1 et 2) (French Edition);65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;L’Ingénieux Hidalgo Don Quichotte de la Manche (Ime 1 et 2) (French Edition);de Cervantes, Miguel
Dumas,Alexandre {père} [] Récits fantastiques 2.epub;Dumas,Alexandre;Récits fantastiques 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Récits fantastiques 2;Dumas,Alexandre
En camarades_ pièce en deux actes_. - Colette.epub;Colette;En camarades_ pièce en deux actes_.;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;En camarades_ pièce en deux actes_.;Colette
Le Rouge,Gustave [] Todd Marvel, détective milliardaire - Tome 2 (1924) french.feed.epub;Le Rouge,Gustave [] Todd Marvel, détective milliardaire;french.feed, Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;french.feed, Tome 2;Le Rouge,Gustave [] Todd Marvel, détective milliardaire
Exbrayat,Charles [-03] Vous souvenez-vous de Paco ! (1958) french.zzz.epub;Exbrayat,Charles;Vous souvenez-vous de Paco !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Vous souvenez-vous de Paco !;Exbrayat,Charles
Dickens,Charles [] Barnabé Rudge -Tome 2 (1841) french.zzz.epub;Dickens,Charles;Barnabé Rudge -Tome 2;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Barnabé Rudge -Tome 2;Dickens,Charles
Sophiste. Politique. Philèbe. Timée. Critias_ Tration, notices et notes par Émile Chambry - Platon.epub;Platon;Sophiste. Politique. Philèbe. Timée. Critias_ Tration, notices et notes par Émile Chambry;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Sophiste. Politique. Philèbe. Timée. Critias_ Tration, notices et notes par Émile Chambry;Platon
Dard,Frédéric [San-Antonio-076] Moi, vous me connaissez ! (1971) french.zzz.epub;Dard,Frédéric;Moi, vous me connaissez !;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Moi, vous me connaissez !;Dard,Frédéric
Cinq-Mars, Ou Une Conjuration Sous Louis XIII. Edition 4 - Alfred de Vigny.epub;de Vigny, Alfred;Cinq-Mars, Ou Une Conjuration Sous Louis XIII. Edition 4;65;PROBABLE;R5: Auteur contient des chiffres | R10: Mots-clés de titres dans auteur;Cinq-Mars, Ou Une Conjuration Sous Louis XIII. Edition 4;de Vigny, Alfred
Notre frere qui etes odieux__ - A.D.G.epub;A.D.G;Notre frere qui etes odieux__;65;PROBABLE;R6: Ponctuation inhabituelle dans auteur | R9: Titre court et auteur long;Notre frere qui etes odieux__;A.D.G
